"NOME_PRINCIPAL","FORMACAO_PRINCIPAL","CAMPUS_PRINCIPAL","LOTACAO","ORIENTADORES_ACADEMICOS","ORIENTANDOS_ACADEMICOS"
"João Carlos Xavier Júnior","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Luiz Marcos Garcia Goncalves (Orientador de Doutorado, 2012); Nathan Gomes (Orientador de Mestrado, 2001); Teresa Bernarda Ludermir (Supervisor de Pós-Doutorado, 2017)","Anderson Pablo Nascimento Da Silva (Orientando de Mestrado 2018 Co); Artejose Revoredo Da Silva (Orientando de Mestrado 2016); Carine Azevedo Dantas (Orientando de Mestrado 2017 Co); Carlos Antonio Ramirez Beltran (Orientando de Mestrado 2021); Cephas Alves Da Silveira Barreto (Orientando de Mestrado 2018); Cephas Alves Da Silveira Barreto (Orientando de Doutorado 2023 Co); David Coelho Dos Santos (Orientando de Mestrado 2018); Diego Henrique Pegado Benício (Orientando de Mestrado 2020); Diego Soares Dos Santos (Orientando de Mestrado 2018); Dinarte Alves Martins Filho (Orientando de Mestrado 2017 Co); Yves Dantas Neves (Orientando de Mestrado 2023)"
"Jorge Estefano Santana De Souza","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Sandro José De Souza (Orientador de Doutorado, 2008)","Daniel Henrique Ferreira Gomes (Orientando de Mestrado 2024); Danilo Lopes Martins (Orientando de Mestrado 2020); Inácio Gomes Medeiros (Orientando de Doutorado 2021); Leonardo René Dos Santos Campos (Orientando de Doutorado 2018 Co); Lucas Felipe Da Silva (Orientando de Mestrado 2018); Pitágoras De Azevedo Alves Sobrinho (Orientando de Mestrado 2021 Co); Priscilla Machado Do Nascimento (Orientando de Mestrado 2018); Raul Maia Falcão (Orientando de Mestrado 2019); Raul Maia Falcão (Orientando de Doutorado 2024); Rayson Carvalho Barbosa (Orientando de Mestrado 2017 Co); Ruth Flávia Barros Setúbal (Orientando de Mestrado 2023)"
"José Ivonildo Do Rêgo","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","IMD","Liu Hsu (Orientador de Doutorado, 1982); Shankar P Bhattacharyya (Orientador de Mestrado, 1977)",""
"Julio Cesar Paulino De Melo","Engenharias / Engenharia Elétrica","Universidade Federal do Rio Grande do Norte, UFRN, Brasil.","IMD","Luiz Eduardo Cunha Leite (Orientador de Mestrado, 2010); Luiz Eduardo Cunha Leite (Orientador de Doutorado, 2015)",""
"Leonardo César Teonácio Bezerra","Ciências Exatas e da Terra / Ciência Da Computação","Université Libre de Bruxelles, ULB, Bélgica.","IMD","Elizabeth Ferreira Gouvêa (Orientador de Mestrado, 2011); Luciana Salete Buriol (Orientador de Mestrado, 2010 Co); Manuel Lopez Ibanez (Orientador de Doutorado, 2016 Co); Thomas Stutzle (Orientador de Doutorado, 2016)","Adelson Dias De Araújo Júnior (Orientando de Mestrado 2019 Co); Carlos Eduardo Morais Vieira (Orientando de Mestrado 2020); Fernanda Monteiro De Almeida (Orientando de Mestrado 2021); Lucas Hiago De Azevedo Dantas (Orientando de Mestrado 2018); Sabrina Moreira De Oliveira (Orientando de Doutorado 2022 Co); Wellerson Viana De Oliveira (Orientando de Mestrado 2021)"
"Leonardo Enzo Brito Da Silva","Engenharias / Engenharia Elétrica","Missouri University of Science and Technology, MS&T, Estados Unidos.","IMD","Donald C Wunsch Ii (Orientador de Doutorado, 2019); José Alfredo Ferreira Costa (Orientador de Mestrado, 2013)",""
"Lourena Karin De Medeiros Rocha","Ciências Exatas e da Terra / Matemática","Universidade Federal Do Rio Grande Do Norte","IMD","Paulo Cezar Pinto Carvalho (Orientador de Mestrado, 2004)",""
"Lucélio Dantas De Aquino","Linguistica Letras E Artes / Lingüística","Universidade Federal Do Rio Grande Do Norte","IMD","Luis Álvaro Sgadari Passeggi (Orientador de Doutorado, 2015); Maria Medianeira De Souza (Orientador de Mestrado, 2010)","Claudia De Souza Dantas Azevedo (Orientando de Mestrado 2021); Delanne Paulino Da Silva (Orientando de Mestrado 2023); Ednny Kelly De Almeida Sales (Orientando de Mestrado 2022); Lizândra Medeiros Dos Santos (Orientando de Mestrado 2019); Marcilene Paulino Da Silva Manso (Orientando de Mestrado 2023); Marcos Antonio De Farias Dantas (Orientando de Mestrado 2021); Maria Clara Medeiros Silva (Orientando de Mestrado 2022); Maria Do Livramento Silva Assuncao De Carvalho (Orientando de Mestrado 2021); Nathalie Rose Ramos Da Fonseca Araujo (Orientando de Mestrado 2020 Co); Russiana Costa Santos Da Silva (Orientando de Mestrado 2023)"
"Muller Moreira Souza Lopes","Ciências Exatas e da Terra / Astronomia","Instituto Nacional de Pesquisas Espaciais, INPE, Brasil.","IMD","Cassio Machiaveli Oishi (Supervisor de Pós-Doutorado, 2023); Margarete Oliveira Domingues (Orientador de Mestrado, 2014); Margarete Oliveira Domingues (Orientador de Doutorado, 2019); Odim Mendes Junior (Orientador de Mestrado, 2014 Co); Odim Mendes Junior (Orientador de Doutorado, 2019 Co)","Randall Hell Vargas Pradinett (Orientando de Mestrado 2023 Co)"
"Roger Kreutz Immich","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Edmundo Roberto Mauro Madeira (Supervisor de Pós-Doutorado, 2018); Eduardo Cerqueira (Orientador de Doutorado, 2017 Co); Luiz Carlos Zancanella (Orientador de Mestrado, 2006); Marília Curado (Orientador de Doutorado, 2017)","Alex Augusto De Souza Santos (Orientando de Mestrado 2023); Degemar Pereira Da Silva (Orientando de Mestrado 2023); Emídio De Paiva Neto (Orientando de Mestrado 2022 Co); Fillipe Dos Santos Silva (Orientando de Mestrado 2020 Co); Honoré Vicente Cesário (Orientando de Mestrado 2022); Pedro Borges (Orientando de Mestrado 2014 Co); Pedro Henrique Rodrigues Emerick (Orientando de Mestrado 2023); Rivaldo Fernandes De Albuquerque Pereira (Orientando de Mestrado 2023)"
"Samyr Silva Bezerra Jácome","Ciências Exatas e da Terra / Física","Universidade Federal Do Rio Grande Do Norte","IMD","André Auto Moreira (Orientador de Doutorado, 2009); Claudionor Gomes Bezerra (Orientador de Mestrado, 2005); José Soares De Andrade Júnior (Orientador de Doutorado, 2009 Co); Liacir Dos Santos Lucena (Supervisor de Pós-Doutorado, 2009)","Gilyan Medeiros (Orientando de Mestrado 2022)"
"Tetsu Sakamoto","Ciências Biológicas / Biologia Geral","Universidade Federal Do Rio Grande Do Norte","IMD","Elizabeth Pacheco Batista Fontes (Orientador de Mestrado, 2012); José Miguel Ortega (Orientador de Doutorado, 2016); Poliane Alfenas Zerbini (Orientador de Mestrado, 2012 Co)","Beatriz Moura Kfoury De Castro (Orientando de Mestrado 2018 Co); Eliseu Jayro De Souza Medeiros (Orientando de Mestrado 2021); Fenícia Brito Santos (Orientando de Mestrado 2017 Co); Fenícia Brito Santos (Orientando de Doutorado 2017 Co); Fernanda Stussi Duarte Lage (Orientando de Mestrado 2019 Co); João Victor Villas Bôas Spelta (Orientando de Mestrado 2024); Leonardo Cabral Afonso Ferreira (Orientando de Mestrado 2023); Matheus Miguel Soares De Medeiros Lima (Orientando de Mestrado 2024); Priscila Caroline De Sousa Costa (Orientando de Mestrado 2022); Renata Lilian Dantas Cavalcante (Orientando de Mestrado 2020); Ruth Flávia Barros Setúbal (Orientando de Mestrado 2023 Co)"
"Tibério Azevedo Pereira","Ciências Exatas e da Terra / Astronomia","Universidade Federal do Rio Grande do Norte, UFRN, Brasil.","IMD","Raimundo Silva Junior (Orientador de Mestrado, 2018); Riccardo Sturani (Orientador de Doutorado, 2023)",""
"Wellington Silva De Souza","Graduação em Engenharia da Computação.","Universidade Federal do Rio Grande do Norte, UFRN, Brasil.","IMD","Sergio Vianna Fialho (Orientador de Mestrado, 2012); Vanessa Aparecida Feijó De Souza (Orientador de Mestrado, 2018)",""
"Wesley Canedo De Souza Junior","Engenharias / Engenharia De Produção","Universidade Federal Do Rio Grande Do Norte","IMD","Noel Torres Júnior (Orientador de Mestrado, 2015); Raoni Barros Bagno (Orientador de Doutorado, 2021); Rodrigo Magalhães Ribeiro (Orientador de Doutorado, 2021 Co)",""
"William Brenno Dos Santos Oliveira","Linguistica Letras E Artes / Lingüística","Universidade Federal Do Rio Grande Do Norte","IMD","Maria Da Penha Casado Alves (Orientador de Mestrado, 2015); Maria Da Penha Casado Alves (Orientador de Doutorado, 2023)",""
"Eugênio Paccelli Aguiar Freire","Ciências Humanas / Educação","Universidade Federal do Rio Grande do Norte, UFRN, Brasil.","IMD","Arnon Alberto Mascarenhas De Andrade (Orientador de Mestrado, 2010); Arnon Alberto Mascarenhas De Andrade (Orientador de Doutorado, 2013); Maria Das Graças Pinto Coelho (Orientador de Doutorado, 2022)",""
"André Maurício Cunha Campos","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Marcelo Gattass (Orientador de Mestrado, 1996); Philippe Mahey (Orientador de Doutorado, 2000)","Alberto Signoretti (Orientando de Doutorado 2012 Co); Alvaro Hermano Da Silva (Orientando de Mestrado 2016); André Medeiros Dantas (Orientando de Mestrado 2008); Danielle Gomes De Freitas (Orientando de Mestrado 2011 Co); Danielle Gomes De Freitas Medeiros (Orientando de Mestrado 2011 Co); Elizama Das Chagas Lemos (Orientando de Mestrado 2011); Leonidas Da Silva Barbosa (Orientando de Mestrado 2011); Marcelo Varela De Souza (Orientando de Mestrado 2016); Rômulo De Oliveira Nunes (Orientando de Mestrado 2014); Verner Rafael Ferreira (Orientando de Mestrado 2014)"
"Anne Magaly De Paula Canuto","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Edson Costa De Barros Carvalho Filho (Orientador de Mestrado, 1995); Michael C Fairhurst (Orientador de Doutorado, 2001)","Alba Sandyra Bezerra Lopes Campos (Orientando de Doutorado 2021 Co); Antonino Alves Feitosa Neto (Orientando de Mestrado 2012); Antonino Alves Feitosa Neto (Orientando de Doutorado 2016); Araken De Medeiros Santos (Orientando de Mestrado 2007); Araken De Medeiros Santos (Orientando de Doutorado 2012); Arthur Costa Gorgônio (Orientando de Mestrado 2021); Carine Azevedo Dantas (Orientando de Mestrado 2017); Carine Azevedo Dantas (Orientando de Doutorado 2021); Cephas Alves Da Silveira Barreto (Orientando de Doutorado 2023); Danilo Rodrigo Cavalcante Bandeira (Orientando de Mestrado 2020); Diego Silveira Costa Nascimento (Orientando de Doutorado 2014); Diogo Fagundes De Oliveira (Orientando de Mestrado 2006 Co); Fernando Pintro (Orientando de Doutorado 2013); Fillipe Morais Rodrigues (Orientando de Mestrado 2013); Givanaldo Rocha De Souza (Orientando de Doutorado 2013 Co); Heloisa Frazão Da Silva Santiago (Orientando de Doutorado 2024); Huliane Medeiros Da Silva (Orientando de Mestrado 2016); Huliane Medeiros Da Silva (Orientando de Doutorado 2021 Co); Isaac De Lima Oliveira Filho (Orientando de Doutorado 2014 Co); Jhoseph Kelvin Lopes De Jesus (Orientando de Mestrado 2018); Jhoseph Kelvin Lopes De Jesus (Orientando de Doutorado 2023); José Augusto Saraiva Lustosa Filho (Orientando de Doutorado 2018); José Gilmar Alves Santos Junior (Orientando de Mestrado 2015); Karliane Medeiros Ovidio Vale (Orientando de Mestrado 2009); Karliane Medeiros Ovidio Vale (Orientando de Doutorado 2019); Kelyson Nunes Dos Santos (Orientando de Mestrado 2011); Laura Emmanuella Alves Dos Santos Santana (Orientando de Mestrado 2007); Laura Emmanuella Alves Dos Santos Santana (Orientando de Doutorado 2012); Lígia Maria Moura E Silva (Orientando de Mestrado 2010); Liliane Ribeiro Da Silva (Orientando de Doutorado 2015 Co); Manuel Ferreira Gomes Junior (Orientando de Mestrado 2005); Marcelo Damasceno De Melo (Orientando de Doutorado 2016); Marcílio De Oliveira Meira (Orientando de Mestrado 2011); Marjory Cristiany Da Costa Abreu (Orientando de Mestrado 2006); Mateus Silvério De Assis (Orientando de Mestrado 2016); Natássia Rafaelle Medeiros Siqueira (Orientando de Mestrado 2023); Priscilla Suene De Santana Nogueira Silverio (Orientando de Mestrado 2015); Raul Benites Paradeda (Orientando de Mestrado 2007); Regina Rosa Parente (Orientando de Mestrado 2012); Robercy Alves Da Silva (Orientando de Doutorado 2020); Rodrigo André Cuevas Gaete (Orientando de Mestrado 2008); Rômulo De Oliveira Nunes (Orientando de Doutorado 2019); Susanny Mirelli Silveira Silva (Orientando de Mestrado 2007); Valéria Maria Siqueira Bezerra (Orientando de Mestrado 2006)"
"Augusto José Venâncio Neto","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Edmundo Heitor Da Silva Monteiro (Orientador de Doutorado, 2008); Elizabeth Sueli Specialski (Orientador de Mestrado, 2001); Marília Curado (Orientador de Doutorado, 2008 Co)","Alisson Patrick Medeiros De Lima (Orientando de Mestrado 2019); Charles Baudouin Akono Akono (Orientando de Mestrado 2014); Charles Hallan Fernandes Dos Santos (Orientando de Mestrado 2024); Douglas Braz Maciel (Orientando de Mestrado 2020); Elifranio Alves Cruz (Orientando de Mestrado 2012); Emídio De Paiva Neto (Orientando de Mestrado 2022); Evarist Logota (Orientando de Doutorado 2013 Co); Everton Fagner Costa De Almeida (Orientando de Mestrado 2014); Fábio Henrique Cabrini (Orientando de Doutorado 2022 Co); Felipe Sampaio Dantas Da Silva (Orientando de Mestrado 2015); Felipe Sampaio Dantas Da Silva (Orientando de Doutorado 2023); Flávio De Sousa Ramalho (Orientando de Mestrado 2016); Helber Wagner Da Silva (Orientando de Doutorado 2017); Helber Wagner Da Silva (Supervisionando de Pós-Doutorado 2023); Hugo Barros Camboim (Orientando de Mestrado 2015); José Castillo Lema (Orientando de Mestrado 2014); Kelyson Nunes Dos Santos (Orientando de Mestrado 2016); Kevin Barros Costa (Orientando de Mestrado 2023); Leandro Alexandre Freitas (Orientando de Mestrado 2011); Liliane Ribeiro Da Silva (Supervisionando de Pós-Doutorado 2019); Mathews Phillipp Santos De Lima (Orientando de Mestrado 2021); Maxweel Silva Carmo (Orientando de Doutorado 2019); Paulo Eugênio Da Costa Filho (Orientando de Mestrado 2024 Co); Rui Pedro De Sa Valbom (Orientando de Mestrado 2009 Co); Sandino Barros Jardim (Orientando de Mestrado 2012); Sandino Barros Jardim (Orientando de Doutorado 2020); Tiago Silvestre Condeixa (Orientando de Mestrado 2009 Co); Wanderson Modesto Da Silva (Orientando de Mestrado 2021)"
"Benjamín René Callejas Bedregal","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Benedito Melo Acióly (Orientador de Doutorado, 1996); Manoel Agamemnon Lopes (Orientador de Mestrado, 1987)","Aarão Lyra (Orientando de Mestrado 1999); Aarão Lyra (Orientando de Doutorado 2003 Co); Adriana Takahashi (Orientando de Mestrado 2005); Adriana Takahashi (Orientando de Doutorado 2012 Co); Ana Maria Barbosa Abeijon (Orientando de Mestrado 2011 Co); Anderson Paiva Cruz (Orientando de Mestrado 2008 Co); Anderson Paiva Cruz (Orientando de Doutorado 2012 Co); Annaxsuel Araújo De Lima (Orientando de Doutorado 2019); Antonio Diego Silva Farias (Orientando de Doutorado 2018 Co); Camila De Araújo (Orientando de Mestrado 2006); Carlos Gustavo Araujo Da Rocha (Orientando de Mestrado 2003 Co); Claudilene Gomes Da Costa (Orientando de Doutorado 2012); Claudio Andrés Callejas Olguín (Orientando de Mestrado 2012); Claudio Andrés Callejas Olguín (Orientando de Doutorado 2016); Eduardo Silva Palmeira (Orientando de Doutorado 2013); Eduardo Silva Palmeira (Supervisionando de Pós-Doutorado 2018); Felipe Antunes Dos Santos (Orientando de Doutorado 2020); Fernando Neres De Oliveira (Orientando de Doutorado 2023 Co); Gesner Antônio Azevedo Dos Reis (Orientando de Mestrado 2010 Co); Giovani Ângelo Silva Da Nóbrega (Orientando de Mestrado 2010); Hélida Salles Santos (Orientando de Mestrado 2008); Hélida Salles Santos (Orientando de Doutorado 2016); Heloína Alves Arnaldo (Orientando de Mestrado 2014); Hortevan Marrocos Frutuoso (Orientando de Mestrado 2019); Huliane Medeiros Da Silva (Orientando de Mestrado 2016); Huliane Medeiros Da Silva (Orientando de Doutorado 2021 Co); Isaac De Lima Oliveira Filho (Orientando de Mestrado 2010); Isaac De Lima Oliveira Filho (Orientando de Doutorado 2014); Ivan Mezzomo (Orientando de Doutorado 2013); Ivanosca Andrade Da Silva (Orientando de Mestrado 2001); Ivanosca Andrade Da Silva (Orientando de Doutorado 2016); José Enéas Montenegro Dutra (Orientando de Mestrado 2000); José Frank Viana Da Silva (Orientando de Mestrado 2007); Karla Darlene Nepomuceno Ramos (Orientando de Mestrado 2002 Co); Landerson Bezerra Santiago (Orientando de Doutorado 2023); Liliane Ribeiro Da Silva (Supervisionando de Pós-Doutorado 2015); Lucélia Marques Lima Da Rocha (Orientando de Doutorado 2016); Luiz Ranyer De Araújo Lopes (Orientando de Mestrado 2019); Marcus Pinto Da Costa Da Rocha (Supervisionando de Pós-Doutorado 2013); Maria Monica Macedo Torres Silveira (Orientando de Mestrado 2002); Marília Do Amaral Dias (Orientando de Mestrado 2011 Co); Nicolas Eduardo Zumelzu Carcamo (Orientando de Doutorado 2024); Nicolas Jacobino Martins (Orientando de Mestrado 2024); Nicolás Zumelzu (Orientando de Doutorado 2024); Osmar Fernandes De Oliveira Júnior (Orientando de Mestrado 2004); Raquel Esperanza Patiño Escarcina (Orientando de Mestrado 2004); Rogério Rodrigues De Vargas (Orientando de Doutorado 2012); Ronildo Pinheiro De Araujo Moura (Orientando de Mestrado 2014); Ronildo Pinheiro De Araujo Moura (Orientando de Doutorado 2018); Roque Mendes Prado Trindade (Orientando de Doutorado 2009 Co); Rosana Medina Zanotelli (Orientando de Doutorado 2020 Co); Samara Pereira Da Costa Melo (Orientando de Mestrado 2003); Thadeu Ribeiro Benicio Milfont (Orientando de Doutorado 2021); Thiago Vinícius Vieira Batista (Orientando de Doutorado 2022); Valdigleis Da Silva Costa (Orientando de Mestrado 2016); Valdigleis Da Silva Costa (Orientando de Doutorado 2020)"
"Bruno Motta De Carvalho","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Gabor T Herman (Orientador de Doutorado, 2003); Jose Ricardo De Almeida Torreao (Orientador de Mestrado, 1995)","Addson Araújo Da Costa (Orientando de Mestrado 2016); Allisson Dantas De Oliveira (Orientando de Doutorado 2019); Arthur Anthony Da Cunha Romão E Silva (Orientando de Mestrado 2025); Carlos Diego Franco Da Rocha (Orientando de Mestrado 2021); Edson Alyppyo Gomes Coutinho (Orientando de Doutorado 2024); Fabiano Papaiz (Orientando de Mestrado 2013); Fellipe Matheus Costa Barbosa (Orientando de Mestrado 2020); Gabriel De Almeida Araujo (Orientando de Mestrado 2018); Hélio De Albuquerque Siebra (Orientando de Mestrado 2013); Iaslan Do Nascimento Paulo Da Silva (Orientando de Mestrado 2020); Iraçú Oliveira Santos (Orientando de Doutorado 2014); Íria Caline Saraiva Cosme (Orientando de Mestrado 2008); José Francisco Da Silva Neto (Orientando de Mestrado 2014); Jose Renato De Araujo Souto (Orientando de Mestrado 2023); Laurindo De Sousa Britto Neto (Orientando de Mestrado 2007); Lucas De Melo Oliveira (Orientando de Mestrado 2007); Luiz Fernando Virgínio Da Silva (Orientando de Mestrado 2017); Natal Henrique Cordeiro (Orientando de Mestrado 2008); Rafael Beserra Gomes (Orientando de Mestrado 2009 Co); Rafael Beserra Gomes (Orientando de Doutorado 2013 Co); Rafaela Horacina Silva Rocha (Orientando de Doutorado 2019); Samuel Da Silva Oliveira (Orientando de Doutorado 2023); Severino Paulo Gomes Neto (Orientando de Doutorado 2014); Tiago Souza Dos Santos (Orientando de Mestrado 2012); Waldson Patricio Do Nascimento Leandro (Orientando de Doutorado 2019); Ystallonne Carlos Da Silva Alves (Orientando de Mestrado 2019)"
"Carlos Augusto Prolo","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Aravind K Joshi (Orientador de Doutorado, 2003); Maurizio Tazza (Orientador de Mestrado, 1990)",""
"Edgard De Faria Corrêa","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Flávio Rech Wagner (Orientador de Doutorado, 2007 Co); Luigi Carro (Orientador de Doutorado, 2007); Luis Fernando Friedrich (Orientador de Mestrado, 1998)","Albano Rocha Da Costa (Orientando de Mestrado 2018 Co); Ana Caline Escariao De Oliveira (Orientando de Mestrado 2021); Andreia Marcelino Ernesto Ribeiro (Orientando de Mestrado 2018); Claudia Larissa Coutinho Marques (Orientando de Mestrado 2018); Lucielly Oliveira Watson (Orientando de Mestrado 2022 Co); Mathieu Jean François Sebastien Duvignaud (Orientando de Mestrado 2018 Co); Moises Cirilo De Brito Souto (Orientando de Mestrado 2017); Mona Paula Santos Da Nobrega (Orientando de Mestrado 2022 Co); Rubens Campos De Almeida Junior (Orientando de Mestrado 2021); Soraya Christiane Silva De Sousa (Orientando de Mestrado 2018); Vanderli Dantas De Araujo Junior (Orientando de Mestrado 2018)"
"Eduardo Henrique Da Silva Aranha","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Paulo Henrique Monteiro Borba (Orientador de Mestrado, 2002); Paulo Henrique Monteiro Borba (Orientador de Doutorado, 2009)","Alan De Oliveira Santana (Orientando de Mestrado 2017); Alan De Oliveira Santana (Orientando de Doutorado 2024); Alexandre Gomes De Lima (Orientando de Doutorado 2023); Amaro Elton Fagundes Silva (Orientando de Mestrado 2009); Breno Alexandro Ferreira De Miranda (Orientando de Mestrado 2011 Co); Cristiano Bertolini (Orientando de Doutorado 2010 Co); Francisco Genivan Silva (Orientando de Mestrado 2018); Glauber Galvão De Araujo (Orientando de Mestrado 2013); Gustavo Sizílio Nery (Orientando de Mestrado 2015); Heitor Mariano De Aquino Câmara (Orientando de Doutorado 2016); Hugo Henrique De Oliveira Mesquita (Orientando de Mestrado 2017); Jairo Rodrigo Soares Carneiro (Orientando de Mestrado 2023); Jéssica Laisa Dias Da Silva (Orientando de Mestrado 2018); Kleber Tavares Fernandes (Orientando de Doutorado 2021); Luiz Fernando Rodrigues De Barros Correa (Orientando de Mestrado 2009); Marcelo Rômulo Fernandes (Orientando de Doutorado 2023 Co); Marilia Aranha Freire (Orientando de Doutorado 2014 Co); Melissa Barbosa Pontes (Orientando de Mestrado 2009); Murilo Regalado Rocha (Orientando de Mestrado 2016); Rochely Estevam Pinto Padilha (Orientando de Mestrado 2011); Sebastião Ricardo Costa Rodrigues (Orientando de Mestrado 2019); Tainá Jesus Medeiros (Orientando de Mestrado 2014); Thiago Reis Da Silva (Orientando de Doutorado 2017); Thiago Silva Toscano De Brito (Orientando de Mestrado 2011); Vanessa Freitas Candido (Orientando de Mestrado 2009); Wellington Alexandre Fernandes (Orientando de Mestrado 2013); Wendell Oliveira De Araújo (Orientando de Mestrado 2018)"
"Everton Ranielly De Sousa Cavalcante","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Thais Vasconcelos Batista (Orientador de Mestrado, 2012); Thais Vasconcelos Batista (Orientador de Doutorado, 2016)","André Luiz Da Silva Solino (Orientando de Doutorado 2023 Co); Camila De Araujo (Orientando de Doutorado 2017 Co); César Augusto Perdigão Batista (Orientando de Mestrado 2019 Co); Felipe Morais Da Silva (Orientando de Mestrado 2021 Co); João Victor Lopes Da Silva (Orientando de Mestrado 2022 Co); Lucas Cristiano Calixto Dantas (Orientando de Mestrado 2020 Co); Pedro Victor Borges Caldas Da Silva (Orientando de Mestrado 2020 Co); Rodrigo Lafayette Da Silva (Orientando de Mestrado 2023); Tiago Vinicius Remigio Da Costa (Orientando de Mestrado 2023)"
"Fernando Marques Figueira Filho","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Paulo Lício De Geus (Orientador de Doutorado, 2011)","Fabio Freire Da Silva Junior (Orientando de Mestrado 2019); Jakeline Bandeira De Oliveira (Orientando de Mestrado 2022); Leandro De Almeida Melo (Orientando de Mestrado 2016); Leandro De Almeida Melo (Orientando de Doutorado 2020); Narallynne Maciel De Araújo (Orientando de Mestrado 2017); Tiago Henrique Da Silva Leite (Orientando de Mestrado 2019)"
"Gibeon Soares De Aquino Junior","Ciências Exatas e da Terra / Ciência Da Computação","Federal University of Pernambuco (UFPE)","DIMAP","Paulo Henrique Monteiro Borba (Orientador de Mestrado, 2002); Silvio Romero De Lemos Meira (Orientador de Doutorado, 2010)","Adorilson Bezerra De Araújo (Orientando de Mestrado 2013); Ana Carina Mendes Almeida (Orientando de Mestrado 2010 Co); Anderson Pablo Nascimento Da Silva (Orientando de Mestrado 2018); Cícero Alves Da Silva (Orientando de Mestrado 2015); Cícero Alves Da Silva (Orientando de Doutorado 2020); Dannylo Johnathan Bernardino Egídio (Orientando de Mestrado 2018); David Coelho Dos Santos (Orientando de Mestrado 2018 Co); Emanuella Aleixo De Barros (Orientando de Mestrado 2010 Co); Felipe Furtado (Orientando de Mestrado 2009 Co); Glauber Mendes Da Silva Barros (Orientando de Mestrado 2023); Héldon José Oliveira Albuquerque (Orientando de Mestrado 2014); Itamir De Morais Barroca Filho (Orientando de Mestrado 2015); Itamir De Morais Barroca Filho (Orientando de Doutorado 2019); Jean Guerethes Fernandes Guedes (Orientando de Mestrado 2015); Laudson Silva De Souza (Orientando de Mestrado 2014); Mário Andrade Vieira De Melo Neto (Orientando de Mestrado 2016); Mário Andrade Vieira De Melo Neto (Orientando de Doutorado 2021); Renan De Oliveira Silva (Orientando de Mestrado 2018); Renata De Avelar (Orientando de Mestrado 2010 Co); Sávio Rennan Menêzes Melo (Orientando de Mestrado 2021); Suzana Candido De Barros Sampaio (Orientando de Mestrado 2010 Co); Vicente De Paula Melo Filho (Orientando de Mestrado 2011)"
"Jair Cavalcanti Leite","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Clarisse Sieckenius De Souza (Orientador de Mestrado, 1991); Clarisse Sieckenius De Souza (Orientador de Doutorado, 1998)","Alexandre Oliveira De Meira Gusmão (Orientando de Mestrado 2001); Antonio Cosme De Souza Júnior (Orientando de Mestrado 2011); Antonio Jose Portella Almeida (Orientando de Mestrado 2002); Carlos Breno Pereira Silva (Orientando de Mestrado 2012); Cassio Higino De Freitas (Orientando de Mestrado 2010); Daniel Cunha Da Silva (Orientando de Doutorado 2015); Fabiola Mariz Da Fonseca (Orientando de Mestrado 2008); George Henrique Costa Dantas (Orientando de Mestrado 2001); Heremita Brasileiro Lira (Orientando de Mestrado 2006); Lirisnei Gomes De Sousa (Orientando de Mestrado 2007); Macilon Araujo Costa Neto (Orientando de Mestrado 2005); Macilon Araujo Costa Neto (Orientando de Doutorado 2013); Marcelo De Barros Barbosa (Orientando de Mestrado 2013); Salerno Ferreira De Sousa E Silva (Orientando de Mestrado 2007); Tatiana Aires Tavares (Orientando de Mestrado 2001); Thais Lima Machado Erhardt (Orientando de Mestrado 2006); Zalkind Lincoln Dantas Rocha (Orientando de Mestrado 2003)"
